0,1,2
r6862,r17390,0.0169491525423728
r75157,r117063,1.0
r59979,r4727,0.0714285714285714
r20012,r3234,0.0031948881789137
r659,r18218,0.0096153846153846
r6353,r1030,0.0088495575221238
r109025,r8115,0.0357142857142857
r16508,r28362,0.0666666666666666
r16881,r15842,0.0476190476190476
r7210,r12217,0.0422535211267605
r1109,r65041,0.0025575447570332
r322,r112311,0.0018248175182481
r40,r13780,0.0022522522522522
r7787,r3966,0.0454545454545454
r167,r4735,0.0130718954248366
r6451,r3860,0.0178571428571428
r61,r13620,0.0049916805324459
r3005,r365,0.0204081632653061
r6341,r13302,0.0408163265306122
r3323,r57309,0.0054945054945054
r10427,r8579,0.0111111111111111
r10043,r9164,0.0408163265306122
r39769,r14809,0.0333333333333333
r8213,r28657,0.0046948356807511
r236,r2012,0.0018181818181818
r10369,r20325,0.0227272727272727
r93004,r26249,0.1428571428571428
r33489,r11107,0.025
r10162,r8665,0.0144927536231884
r6691,r220,0.0204081632653061
r3162,r11406,0.0677966101694915
r33830,r37603,0.0625
r85917,r4483,0.032258064516129
r1511,r12801,0.0038461538461538
r3897,r85804,0.0138888888888888
r32442,r12279,0.125
r19996,r105816,0.25
r52062,r931,0.002680965147453
r59704,r9142,0.0666666666666666
r11840,r84548,0.1
r63836,r2800,0.3333333333333333
r7854,r21628,0.125
r22082,r30286,0.025
r6398,r29624,0.1
r4456,r4753,0.0185185185185185
r6807,r6036,0.037037037037037
r866,r9572,0.004095004095004
r13673,r986,0.0040567951318458
r64185,r20284,0.3333333333333333
r1412,r13490,0.0053763440860215
r250,r861,0.015625
r88139,r44607,1.0
r67120,r111094,1.0
r314,r38420,0.0909090909090909
r27484,r690,0.0099502487562189
r1444,r27269,0.0062893081761006
r4802,r25230,0.0097087378640776
r7831,r138,0.0013245033112582
r4671,r8236,0.0087719298245614
r855,r6996,0.0204081632653061
r10054,r1110,0.0555555555555555
r19352,r1995,0.0144927536231884
r64452,r38533,0.2
r2634,r8751,0.027027027027027
r54214,r447,0.0099009900990099
r44557,r32996,0.0833333333333333
r15058,r59125,0.2
r20817,r17517,0.1666666666666666
r49734,r97,0.0030581039755351
r69943,r60256,0.5
r642,r5848,0.0185185185185185
r80560,r899,0.0016051364365971
r9775,r16893,0.0666666666666666
r71695,r5514,0.0099009900990099
r57478,r16595,0.0384615384615384
r20850,r23250,0.0303030303030303
r25840,r10067,0.1
r1878,r15507,0.0425531914893617
r1556,r6,0.0015552099533437
r1770,r7161,0.0263157894736842
r4834,r45508,0.0263157894736842
r97363,r6471,0.1111111111111111
r7606,r2765,0.0105263157894736
r2957,r1187,0.0190217391304347
r4645,r29198,0.0909090909090909
r105,r3471,0.0129870129870129
r15627,r19960,0.0476190476190476
r15201,r28122,0.015625
r50252,r1764,0.0040322580645161
r35177,r25751,0.1666666666666666
r22,r6230,0.0058823529411764
r3207,r1116,0.0106382978723404
r61772,r7668,0.03125
r23817,r361,0.0015290519877675
r4174,r8414,0.0096618357487922
r6910,r19092,0.1
r62,r40540,0.0020120724346076
r57219,r1888,0.0126582278481012
r984,r62431,0.0084033613445378
r99881,r2166,0.010752688172043
r38732,r6143,0.0222222222222222
r1786,r28795,0.0103092783505154
r18871,r15252,0.0476190476190476
r97952,r48564,0.5
r16409,r12632,0.0204081632653061
r46624,r4989,0.0833333333333333
r119287,r642,0.0070921985815602
r5169,r5523,0.0109890109890109
r3563,r34072,0.05
r16113,r13204,0.0909090909090909
r4630,r1651,0.008
r4174,r20367,0.0094786729857819
r7668,r11893,0.0625
r3841,r1039,0.0137457044673539
r14700,r17429,0.0105263157894736
r70716,r2733,0.0104712041884816
r2800,r9538,0.0333333333333333
r9981,r892,0.0051282051282051
r11121,r28235,0.1428571428571428
r1374,r1709,0.0138888888888888
r30532,r55794,0.0625
r1002,r56684,0.0045662100456621
r43765,r285,0.0015748031496062
r6320,r97866,0.3333333333333333
r1266,r18449,0.0158730158730158
r923,r2687,0.0314465408805031
r62140,r21852,0.1666666666666666
r28213,r15937,0.0714285714285714
r63312,r7776,0.5
r115259,r14195,0.05
r542,r116551,0.0012804097311139
r5998,r41836,0.0049751243781094
r15559,r999,0.0036231884057971
r1165,r32713,0.0425531914893617
r1603,r7685,0.018348623853211
r1874,r34933,0.0196078431372549
r10778,r49343,0.0238095238095238
r96366,r18430,0.25
r11978,r25663,0.1666666666666666
r1871,r1152,0.0113207547169811
r92773,r718,0.0062111801242236
r21548,r81,0.0031023784901758
r22524,r25977,0.1666666666666666
r71823,r4647,0.0217391304347826
r302,r2408,0.0015455950540958
r19540,r33889,0.05
r35257,r331,0.0261437908496732
r10147,r14526,0.0526315789473684
r46793,r2193,0.0040485829959514
r18382,r59533,1.0
r19833,r61,0.0017921146953405
r61454,r16719,0.5
r13004,r1413,0.0151515151515151
r41525,r1772,0.0084745762711864
r89839,r26082,0.1111111111111111
r109866,r47025,1.0
r1451,r9808,0.0053763440860215
r12247,r49894,0.5
r100533,r10686,0.0188679245283018
r486,r37042,0.0023310023310023
r65,r80229,0.0020325203252032
r16862,r3505,0.0140845070422535
r23871,r9617,0.0232558139534883
r32009,r5145,0.015625
r65,r102535,0.0020325203252032
r9598,r114433,0.0192307692307692
r560,r7556,0.0125786163522012
r915,r4106,0.0074074074074074
r3582,r6568,0.0303030303030303
r1622,r73043,0.0120481927710843
r6842,r2200,0.0056980056980056
r5731,r70460,0.0135135135135135
r18943,r375,0.0074626865671641
r35936,r6414,0.0833333333333333
r3500,r16717,0.0588235294117647
r22608,r6191,0.0454545454545454
r1077,r11804,0.0131578947368421
r8,r79907,0.0008628127696289
r279,r92028,0.0158730158730158
r20973,r106,0.0123456790123456
r24630,r17730,0.0526315789473684
r26895,r12066,0.0147058823529411
r35238,r2265,0.0033003300330033
r3704,r31509,0.0061728395061728
r8011,r831,0.0111111111111111
r1305,r12998,0.0044444444444444
r2626,r10619,0.0056818181818181
r32,r6590,0.0037037037037037
r1023,r60176,0.0023923444976076
r48353,r94722,1.0
r3682,r7211,0.0246913580246913
r32463,r58257,0.0666666666666666
r80035,r114883,0.25
r5950,r70996,0.25
r2162,r57724,0.003125
r106132,r22070,0.0714285714285714
r40332,r14000,0.0666666666666666
r3172,r3162,0.0057803468208092
r60806,r659,0.0112359550561797
r128,r19634,0.0196078431372549
r5757,r937,0.0175438596491228
r6242,r25663,0.0434782608695652
r81437,r11145,0.0869565217391304
r84182,r72518,0.5
r4138,r50245,0.0303030303030303
r9459,r23939,0.25
r27516,r119478,1.0
r48353,r9088,0.0128205128205128
r187,r87812,0.0109890109890109
r4042,r2526,0.0117647058823529
r196,r14565,0.1428571428571428
r105424,r774,0.0052356020942408
r61735,r624,0.0087719298245614
r88437,r13470,0.0357142857142857
r26852,r11605,0.0357142857142857
r41974,r23581,0.0789473684210526
r66411,r2140,0.0045454545454545
r7556,r25785,0.0329670329670329
r51276,r834,0.0071428571428571
r29272,r1668,0.0256410256410256
r5320,r36285,0.0192307692307692
r1166,r8665,0.0181818181818181
r8770,r1136,0.0086206896551724
r74005,r2480,0.0344827586206896
r967,r3842,0.0239520958083832
r122807,r32594,0.2
r1558,r9024,0.0031746031746031
r72646,r302,0.0005184033177812
r33085,r2935,0.01
r1958,r13227,0.0285714285714285
r56245,r24164,0.1666666666666666
r33036,r58259,0.125
r20069,r2153,0.0080645161290322
r42450,r18985,0.0666666666666666
r22092,r363,0.0018315018315018
r109667,r7228,0.0181818181818181
r9580,r39964,0.0416666666666666
r6807,r754,0.0059523809523809
r70,r121633,0.001131221719457
r91944,r564,0.0011574074074074
r3343,r1614,0.0058823529411764
r42335,r23598,0.3333333333333333
r40796,r111470,0.1
r8444,r8134,0.0333333333333333
r65991,r7812,0.0526315789473684
r678,r2500,0.029126213592233
r10914,r11640,0.027027027027027
r6527,r29522,0.0217391304347826
r3929,r117801,0.0113636363636363
r47304,r38174,0.2
r15538,r18420,0.0185185185185185
r19203,r59573,0.0666666666666666
r3717,r101213,0.0303030303030303
r87155,r3711,0.0069444444444444
r64781,r7667,0.0277777777777777
r24731,r119,0.0205882352941176
r12601,r8588,0.0178571428571428
r20150,r19696,0.0357142857142857
r224,r890,0.0012150668286755
r6673,r3008,0.0112359550561797
r34654,r2819,0.5
r18613,r9822,0.0555555555555555
r85286,r33632,0.0909090909090909
r65412,r12459,0.5
r39034,r6039,0.04
r60580,r104289,0.0714285714285714
r11,r4414,0.0242424242424242
r2790,r17888,0.02
r24672,r1089,0.0106007067137809
r755,r8272,0.0239520958083832
r9016,r83884,0.25
r10397,r8983,0.0175438596491228
r3757,r3789,0.0099009900990099
r34354,r15,0.0014836795252225
r8,r22597,0.0025083612040133
r53633,r52491,0.3333333333333333
r12512,r50261,0.0277777777777777
r1749,r1739,0.0085470085470085
r32713,r11928,0.03125
r9453,r36028,0.0166666666666666
r103948,r4900,0.0303030303030303
r6742,r84,0.0009074410163339
r31255,r1405,0.002680965147453
r49769,r12458,0.0769230769230769
r236,r86747,0.0036968576709796
r99964,r1187,0.0031446540880503
r97233,r55565,0.3333333333333333
r15364,r866,0.0035087719298245
r60756,r12556,0.0555555555555555
r3960,r27398,0.1666666666666666
r20536,r1764,0.0040983606557377
r27543,r77744,0.0909090909090909
r581,r60327,0.0119047619047619
r10256,r81583,0.0277777777777777
r543,r21449,0.0196078431372549
r1180,r18777,0.0076335877862595
r10458,r20004,0.1666666666666666
r8052,r24698,0.0222222222222222
r31322,r2677,0.0108695652173913
r27208,r8654,0.04
r7206,r8012,0.0344827586206896
r749,r76976,0.0037174721189591
r16329,r238,0.0016722408026755
r96923,r103,0.0031645569620253
r2687,r12752,0.0103092783505154
r4021,r17464,0.0078125
r4210,r3549,0.0089285714285714
r2342,r4798,0.0334928229665071
r8009,r2618,0.003125
r718,r36449,0.0061349693251533
r124,r7415,0.0094786729857819
r521,r932,0.03584229390681
r22551,r302,0.0005181347150259
r1603,r12827,0.0060240963855421
r10534,r2028,0.0125
r54267,r5794,0.0357142857142857
r10014,r37815,0.0909090909090909
r1387,r9453,0.0219780219780219
r1708,r67766,0.032258064516129
r8444,r542,0.0100882723833543
r1348,r56229,0.0033670033670033
r17146,r6130,0.0256410256410256
r15627,r547,0.1
r5453,r3534,0.0099009900990099
r1014,r23333,0.0238095238095238
r20916,r680,0.0076335877862595
r449,r17471,0.0046948356807511
r1352,r19149,0.005
r12071,r1866,0.0066666666666666
r7355,r5702,0.0204081632653061
r349,r764,0.0192307692307692
r51041,r327,0.0017452006980802
r28613,r9343,0.05
r1140,r32188,0.0063897763578274
r2873,r31273,0.0769230769230769
r15169,r21650,0.0666666666666666
r1225,r91306,0.0476190476190476
r3944,r18439,0.1666666666666666
r66588,r15914,0.0357142857142857
r114617,r9368,0.05
r27404,r90228,0.125
r8337,r3477,0.05
r23263,r4721,0.0227272727272727
r17330,r8,0.0008598452278589
r43262,r2548,0.0033783783783783
r3804,r42306,0.0526315789473684
r103,r22387,0.0031645569620253
r46624,r8946,0.0106382978723404
r1412,r29413,0.0059523809523809
r2801,r28645,0.05
r85397,r11579,0.024390243902439
r84715,r55583,0.25
r63448,r2979,0.0163934426229508
r71320,r19986,0.5
r5548,r6996,0.0158730158730158
r1668,r4805,0.0217391304347826
r29272,r39894,0.125
r13780,r10135,0.0588235294117647
r59103,r2125,0.2
r26060,r1806,0.0238095238095238
r7178,r66867,0.0104166666666666
r449,r45649,0.0045871559633027
r2619,r32589,0.0256410256410256
r786,r12042,0.0204081632653061
r4542,r13343,0.0059880239520958
r8945,r24108,0.0769230769230769
r289,r8886,0.0015723270440251
r3951,r5084,0.0077519379844961
r39231,r18360,0.0434782608695652
r17078,r44240,0.0263157894736842
r28381,r3013,0.0476190476190476
r52521,r364,0.0021881838074398
r230,r19643,0.0075757575757575
r18590,r53825,0.25
r3137,r28428,0.0053191489361702
r5338,r913,0.0186915887850467
r7764,r112650,0.0909090909090909
r26478,r4628,0.0166666666666666
r3432,r20161,0.0101010101010101
r14418,r8100,0.0333333333333333
